L_OLF,L_Olfactory_areas,1
R_OLF,R_Olfactory_areas,2
L_GU,L_Gustatory_areas,3
R_GU,R_Gustatory_areas,4
L_FRP,L_Frontal_pole_cerebral_cortex,5
R_FRP,R_Frontal_pole_cerebral_cortex,6
L_ECT,L_Ectorhinal_area,7
R_ECT,R_Ectorhinal_area,8
L_RSP,L_Retrosplenial_area,9
R_RSP,R_Retrosplenial_area,10
L_SS,L_Somatosensory_areas,11
R_SS,R_Somatosensory_areas,12
L_ILA,L_Infralimbic_area,13
R_ILA,R_Infralimbic_area,14
L_ACA,L_Anterior_cingulate_area,15
R_ACA,R_Anterior_cingulate_area,16
L_MO,L_Somatomotor_areas,17
R_MO,R_Somatomotor_areas,18
L_AI,L_Agranular_insular_area,19
R_AI,R_Agranular_insular_area,20
L_ORB,L_Orbital_area,21
R_ORB,R_Orbital_area,22
L_AUD,L_Auditory_areas,23
R_AUD,R_Auditory_areas,24
L_VISC,L_Visceral_area,25
R_VISC,R_Visceral_area,26
L_PERI,L_Perirhinal_area,27
R_PERI,R_Perirhinal_area,28
L_TEa,L_Temporal_association_areas,29
R_TEa,R_Temporal_association_areas,30
L_PTLp,L_Posterior_parietal_association_areas,31
R_PTLp,R_Posterior_parietal_association_areas,32
L_PL,L_Prelimbic_area,33
R_PL,R_Prelimbic_area,34
L_VIS,L_Visual_areas,35
R_VIS,R_Visual_areas,36
L_DG,L_Dentate_gyrus,37
R_DG,R_Dentate_gyrus,38
L_CA,L_Ammon's_horn,39
R_CA,R_Ammon's_horn,40
L_PAR,L_Parasubiculum,41
R_PAR,R_Parasubiculum,42
L_PRE,L_Presubiculum,43
R_PRE,R_Presubiculum,44
L_POST,L_Postsubiculum,45
R_POST,R_Postsubiculum,46
L_ProS,L_Prosubiculum,47
R_ProS,R_Prosubiculum,48
L_SUB,L_Subiculum,49
R_SUB,R_Subiculum,50
L_ENT,L_Entorhinal_area,51
R_ENT,R_Entorhinal_area,52
L_AMY,L_Amygdala,53
R_AMY,R_Amygdala,54
L_STRv,L_Striatum_ventral_region,55
R_STRv,R_Striatum_ventral_region,56
L_STRd,L_Striatum_dorsal_region,57
R_STRd,R_Striatum_dorsal_region,58
L_LSX,L_Lateral_septal_complex,59
R_LSX,R_Lateral_septal_complex,60
L_PAL,L_Pallidum,61
R_PAL,R_Pallidum,62
L_DORpm,L_Thalamus_polymodal_association_cortex_related,63
R_DORpm,R_Thalamus_polymodal_association_cortex_related,64
L_DORsm,L_Thalamus_sensory-motor_cortex_related,65
R_DORsm,R_Thalamus_sensory-motor_cortex_related,66
L_HY,L_Hypothalamus,67
R_HY,R_Hypothalamus,68
L_MBsen,L_Midbrain_sensory_related,69
R_MBsen,R_Midbrain_sensory_related,70
L_MBsta,L_Midbrain_behavioral_state_related,71
R_MBsta,R_Midbrain_behavioral_state_related,72
L_MBmot,L_Midbrain_motor_related,73
R_MBmot,R_Midbrain_motor_related,74
L_HB,L_Hindbrain,75
R_HB,R_Hindbrain,76
L_HEM,L_Hemispheric_regions,77
R_HEM,R_Hemispheric_regions,78
L_CBN,L_Cerebellar_nuclei,79
R_CBN,R_Cerebellar_nuclei,80
L_VERM,L_Vermal_regions,81
R_VERM,R_Vermal_regions,82
